time,tk_gps_data_value,tk_gps_time_value,tk_airquality_iaqindex_value,tk_airquality_temperature_value,tk_airquality_humidity_value,tk_airquality_airpressure_value,tk_soundpressurelevel_spl_value,tk_humidity_humidity_value,tk_analogin_voltage_value,tk_particulatematter_pm1_0_value,tk_particulatematter_pm2_5_value,tk_particulatematter_pm10_0_value,tk_dual0_20ma_solarlight_value,tk_thermocouple_temperature_value,tk_ptc_airtemp_value,atmos_northwind_value,atmos_eastwind_value,atmos_gustwind_value,atmos_airtemperature_value,atmos_xorientation_value,atmos_yorientation_value,atmos_nullvalue_value,accelerometer_orientation_x,accelerometer_orientation_y,accelerometer_orientation_z,accelerometer_gyroscope_x,accelerometer_gyroscope_y,accelerometer_gyroscope_z,accelerometer_linearaccl_x,accelerometer_linearaccl_y,accelerometer_linearaccl_z,accelerometer_magnetometer_x,accelerometer_magnetometer_y,accelerometer_magnetometer_z,accelerometer_accl_x,accelerometer_accl_y,accelerometer_accl_z,accelerometer_gravity_x,accelerometer_gravity_y,accelerometer_gravity_z,empatica_e4_gsr,empatica_e4_hr,empatica_e4_ibi,x,y,z
2024-05-02 13:20:55,60180.0,2250269.0,203.0,2069.0,4822.0,101728.0,646.02,5678.910891089109,13.297029702970297,0.0,0.0,1.0,10569778.11764706,0.0,1944.2079207920792,1.5899999,-0.13499999,1.605,16.95,12.9,9.25,0.0,145.67,359.86,278.56,-0.0163999990216,0.008199999431600002,-0.0022000007488000013,-0.025400007654000002,-0.275399995572,0.5594000053136,-10.6915999052,-36.447200482,15.274799975999999,-0.059400000414399995,9.4040000058,2.000000006946,-0.023200000005999998,9.688199845,1.4512000040000002,0.0147362225,,,-9.170791911,38.70791436,92183.6
2024-05-02 13:20:56,60180.0,2251269.0,204.0,2064.0,4839.0,101731.0,642.060606060606,5685.92,12.801980198019802,0.0,0.0,1.0,5746492.178217822,0.0,1943.049504950495,1.5899999,-0.11,1.595,17.0,12.75,-4.95,0.0,146.39,359.81,280.38,-0.0111999999636,-0.0567999994176,-0.0310000004484,0.10580000234240002,0.199999990512,0.7262000149700001,-10.0236000972,-37.225600132,14.059999962,0.06440000295039999,9.8522000402,2.4923999916,-0.03419999986,9.637599984,1.7582000067999999,0.01441587,,,-9.170791723,38.707914323,92108.0
2024-05-02 13:20:57,60180.0,2252269.0,204.0,2064.0,4839.0,101731.0,672.978947368421,5693.357142857143,13.16326530612245,0.0,0.0,1.0,4913078.5154639175,0.0,1942.295918367347,1.46,-0.09,1.47,17.0,19.1,18.2,0.0,155.17,359.71,280.18,0.0533999983016,-0.1240000014168,-0.012000000125600001,0.266200003374,-0.018999999077999995,0.26099999433800003,-6.5676000314,-38.120599978,15.753600040000002,0.21320000030440003,9.6356000316,1.98160000234,-0.048800000254400004,9.644600048600001,1.7229999914,0.01761939,,,-9.170791599,38.707914686,91995.6
2024-05-02 13:20:58,60180.0,2253169.0,204.0,2060.5,4851.5,101729.5,673.3,5700.06,13.171717171717171,0.0,0.0,1.0,5439793.13,0.0,1940.0594059405942,1.315,-0.135,1.3199999,17.05,19.7,3.95,0.0,146.72,0.27,280.57,-0.0899999989532,0.2807999993136,0.0646000003152,-0.01340000156799999,-0.30579999906,0.33839998992199993,-9.3560000208,-36.505600132,15.243199868,0.032000005320000004,9.322799985400001,2.1300000037,0.04499999933,9.630599995,1.791199994,0.0163379825,,,-9.170791788,38.707914694,91889.3
2024-05-02 13:20:59,60180.0,2254169.0,204.0,2057.0,4864.0,101728.0,634.7272727272727,5705.059405940594,13.088235294117647,0.0,0.0,1.0,6168386.217821782,0.0,1938.950495049505,1.255,0.13,1.27,17.1,11.05,3.65,0.0,143.96,359.76,279.91,0.07299999963840001,-0.004999999635200001,0.0102000000444,0.28219999424599995,0.155999998318,0.84139999958,-10.8759999436,-36.072799834,15.150000126,0.232200008014,9.802399995,2.52679998842,-0.0386000001552,9.6535999306,1.6713999982,0.01441587,,,-9.170792032,38.707914944,91771.1
2024-05-02 13:21:00,60180.0,2255169.0,204.0,2057.0,4864.0,101728.0,625.6,5708.04,13.603960396039604,0.0,0.0,1.0,4972372.138613861,0.0,1936.7029702970297,1.135,0.425,1.21,17.1,4.45,11.55,0.0,150.95,357.52,279.06,0.0171999991384,-0.24999999858039998,-0.1056000011084,0.62999999314,0.011600007878000005,0.41479999108,-7.6473999882,-37.504000486,15.940200092,0.19780000726000002,9.683999939,1.9480000132000002,-0.42659999825760003,9.6673999982,1.5292000038,0.014415867499999999,,,-9.170791667,38.7079151,91685.3
2024-05-02 13:21:01,60180.0,2256169.0,,,,,659.375,5709.0,12.846938775510203,0.0,0.0,1.0,5115645.797979798,0.0,1935.3163265306123,1.3299999,0.23999998,1.375,17.1,-6.75,5.8500004,0.0,176.83,358.36,279.89,-0.037600001002,-0.51700000406,-0.0670000005964,0.7667999954379999,-0.33060001087400004,0.068999992912,-10.866000101600001,-36.931000142,4.8576000740000005,0.4645999903856,9.3162000182,1.746799999062,-0.27860000073999996,9.6479998976,1.6753999854,0.0147362225,,,-9.17079103,38.707912035,91569.4
2024-05-02 13:21:02,60180.0,2257169.0,204.0,2053.0,4870.0,101731.0,671.4705882352941,6150.495145631068,13.16504854368932,0.0,0.0,1.0,5227596.376237623,0.0,1933.388349514563,,,,,,,,187.18,358.19,279.81,-0.020000000648,-0.186600001634,-0.03419999927,0.518200001856,0.28679999386000005,0.494200003872,-25.815599876,-37.097400448,-8.0885999772,0.21960000100000002,9.9704000264,2.15979999088,-0.31239999888,9.651799928199999,1.656399997,0.015056574999999999,,,-9.170790317,38.707907156,91460.5
2024-05-02 13:21:03,60180.0,2258169.0,204.0,2053.0,4870.0,101731.0,671.959595959596,6568.069306930693,12.89,0.0,0.0,1.0,4915910.584158416,0.0,1932.069306930693,2.075,-0.495,2.14,17.0,11.6,9.05,0.0,196.14,358.9,279.6,0.1120000000336,-0.1198000007944,-0.03559999977120001,0.533200005946,0.2648000109940001,0.33779999666000005,-9.8496000278,-38.854200372,-2.421800025242,0.340200003524,9.9237999802,1.9624000034496,-0.191999998658,9.6553998762,1.61860000836,0.013775164999999999,,,-9.170789047,38.707901072,91482.1
2024-05-02 13:21:04,60180.0,2259169.0,204.0,2044.0,4889.0,101735.0,668.57,6570.08,13.445544554455445,0.0,0.0,1.0,4957921.910891089,0.0,1929.44,2.61,-0.85,2.74,17.0,36.4,30.2,0.0,198.62,358.42,278.22,-0.046000001386399994,0.0536000005064,0.005599998930399999,0.389799994482,-0.474999994704,0.047000002326,-4.6571999922,-37.630200746,1.92000001488,0.076800000634,9.1754000194,1.4326000037036,-0.27000000046,9.6925999266,1.3943999998,0.0156972775,,,-9.170788827,38.707892453,91184.8
