time,tk_gps_data_value,tk_gps_time_value,tk_airquality_iaqindex_value,tk_airquality_temperature_value,tk_airquality_humidity_value,tk_airquality_airpressure_value,tk_soundpressurelevel_spl_value,tk_humidity_humidity_value,tk_analogin_voltage_value,tk_particulatematter_pm1_0_value,tk_particulatematter_pm2_5_value,tk_particulatematter_pm10_0_value,tk_dual0_20ma_solarlight_value,tk_thermocouple_temperature_value,tk_ptc_airtemp_value,atmos_northwind_value,atmos_eastwind_value,atmos_gustwind_value,atmos_airtemperature_value,atmos_xorientation_value,atmos_yorientation_value,atmos_nullvalue_value,accelerometer_orientation_x,accelerometer_orientation_y,accelerometer_orientation_z,accelerometer_gyroscope_x,accelerometer_gyroscope_y,accelerometer_gyroscope_z,accelerometer_linearaccl_x,accelerometer_linearaccl_y,accelerometer_linearaccl_z,accelerometer_magnetometer_x,accelerometer_magnetometer_y,accelerometer_magnetometer_z,accelerometer_accl_x,accelerometer_accl_y,accelerometer_accl_z,accelerometer_gravity_x,accelerometer_gravity_y,accelerometer_gravity_z,humidity,wind_speed,temp_atmos,temp_tk,temp_tk_ptc,temp_radiant,utci,x,y,z
2024-08-27 16:00:11,60180.0,1542369.0,0.0,3156.0,3292.0,100527.0,704.5050505050505,4140.584158415842,10.732673267326733,7.0,9.0,9.0,4511755.148514852,3570.039603960396,3097.019801980198,1.53,-0.25,1.55,29.849998,38.85,29.099998,0.0,28.98,0.27,294.19,-0.03679999998320001,0.03439999925000001,-0.0014000006860000014,-0.16719999479199998,-0.618200004472,0.6564000106044,-12.676800128,-14.315000216000001,-38.016000686,-0.1005999980344,8.341799973,4.7074000314,0.045399999888,8.936799965,4.0082000440000005,41.405841584158416,1.5502902,29.849998,31.56,30.970198019801977,35.70039603960396,30.7,-9.130611104,38.726147748,155692.4
2024-08-27 16:00:12,60180.0,1543269.0,0.0,3156.0,3292.0,100527.0,731.91,4144.2,11.245098039215685,7.0,8.54,9.0,4519819.910891089,3571.1188118811883,3096.128712871287,1.18,-0.24,1.21,29.8,-0.5,-29.6,0.0,28.87,358.8,294.14,-0.0016000004103999966,-0.038999998888,-0.0495999996704,-0.125600004262,-0.70199999816,0.7963999956536,-11.4490000288,-15.383799902,-38.609800036,-0.315400004842,8.3278000258,4.8589999621999995,-0.209199999006,8.9418000034,3.9994000342,41.442,1.2041594,29.8,31.56,30.96128712871287,35.71118811881188,30.9,-9.130606192,38.726157673,155683.1
2024-08-27 16:00:13,60180.0,1544269.0,0.0,3156.0,3292.0,100527.0,727.0909090909091,4147.623762376237,381.03960396039605,7.0,8.0,9.0,4528469.6435643565,3573.960396039604,3095.029702970297,1.355,-0.45999998,1.4449999,29.8,14.150001,14.0,0.0,34.06,358.53,295.55,-0.037999999666,-0.0577999998136,-0.0195999999328,0.34079999906,-0.4912000196,0.633599987166,-13.321000056,-14.810399881999999,-37.903400432,0.05219999667,8.3817999722,4.9209999768,-0.25239999944,8.8341999622,4.2171999935999995,41.47623762376237,1.4309525,29.8,31.56,30.95029702970297,35.73960396039604,30.8,-9.130593793,38.726167554,155495.4
2024-08-27 16:00:14,60180.0,1545269.0,0.0,3151.0,3303.0,100519.0,741.4646464646464,4151.663366336634,11.118811881188119,6.3,8.0,9.0,4559747.267326733,3573.1188118811883,3093.71,1.685,-0.525,1.7650001,29.650002,40.65,11.65,0.0,36.09,357.57,296.17,0.0203999999316,0.011400000016799998,0.0011999999204000001,0.040400006254000004,-0.898600000154,0.6241999925799999,-13.445200110799998,-13.637000042,-37.869600150000004,-0.367999993142,7.871799964000001,4.9098000204,-0.4175999981,8.7863999756,4.3100000142,41.516633663366335,1.7648937,29.650002,31.51,30.9371,35.731188118811886,30.4,-9.130576617,38.726174791,155116.1
2024-08-27 16:00:15,60180.0,1546269.0,0.0,3151.0,3303.0,100519.0,729.84,4155.68,11.386138613861386,6.0,8.0,9.0,4604250.7920792075,3574.990099009901,3092.108910891089,1.22,-0.22,1.24,29.6,9.8,-21.2,0.0,30.38,358.42,293.01,0.010600000715599998,0.093999998622,0.062599999466,-0.11439999667559998,-0.5738000055399999,0.940400009908,-11.082800021999999,-15.213000099999999,-37.737800302000004,-0.33160000451599997,8.3983999734,4.7723999976,-0.2697999998336,9.017999935,3.8199999946000003,41.5568,1.2396774,29.6,31.51,30.92108910891089,35.74990099009901,30.7,-9.130559062,38.726183896,154997.2
2024-08-27 16:00:16,60180.0,1547269.0,0.0,3151.0,3303.0,100519.0,739.2929292929293,4159.702970297029,10.811881188118813,6.94,8.94,9.0,4607224.89,3569.960396039604,3090.9504950495048,1.12,-0.26,1.15,29.5,43.9,24.95,0.0,22.56,358.96,293.19,-0.0195999994688,0.133799998564,0.052200000196400004,-0.2595999986556,-0.585199997802,0.9777999964920001,-8.023400045199999,-14.64319987,-38.913399886,-0.440000003684,8.4208000276,4.8276000304,-0.179200000166,9.0074000742,3.8502000094,41.597029702970296,1.1497827,29.5,31.51,30.909504950495048,35.69960396039604,30.7,-9.130540834,38.726187661,154994.7
2024-08-27 16:00:17,60180.0,1548269.0,0.0,3146.0,3312.0,100510.0,742.2222222222222,4163.742574257426,11.346534653465346,7.0,9.0,9.2,4656822.465346535,3580.108910891089,3088.990099009901,0.92,-0.41,1.0,29.5,1.2,-5.4,0.0,20.15,358.33,294.04,0.0178000004136,0.027999999174799995,-0.0353999996724,-0.292599999428,-0.604400002124,1.158799996174,-6.5462000827999995,-14.689200034,-39.78860102,-0.57939999694,8.3386000332,5.141399990999999,-0.28439999918200004,8.9441999626,3.9818000078,41.63742574257426,1.007224,29.5,31.46,30.889900990099008,35.801089108910894,30.8,-9.13052335,38.726194079,154763.6
2024-08-27 16:00:18,60180.0,1549269.0,0.0,3146.0,3312.0,100510.0,723.85,4167.782178217822,11.148514851485148,7.0,9.0,10.0,4751378.108910891,3573.46,3087.7450980392155,1.425,-0.475,1.505,29.55,24.25,-9.549999,0.0,20.73,358.04,293.87,-0.0261999992336,0.0017999996416000002,-0.010799999119200002,-0.14020000615,-0.6410000031784,0.907999994214,-19.5248001792,-17.045599850000002,-40.791800472,-0.48059999878439996,8.3138000022,4.863800017,-0.3363999991,8.9570000262,3.9546000204,41.67782178217821,1.5020819,29.55,31.46,30.877450980392155,35.7346,30.5,-9.130496224,38.726190439,154445.4
2024-08-27 16:00:19,60180.0,1550269.0,0.0,3146.0,3312.0,100510.0,702.3838383838383,4171.8,11.509803921568627,7.0,9.43,10.43,4926129.821782178,3575.235294117647,3085.5049504950493,0.69500005,-0.79499996,1.13,29.5,23.7,20.349998,0.0,18.72,357.18,292.56,0.015200000052400003,0.0399999994756,-0.0163999989016,-0.1740000033904,-0.64860001694,1.04279998326,-37.406399918000005,-20.60179982,-42.287599946,-0.66119999632,8.390000023799999,4.78839999478,-0.48499999641999997,9.0391999624,3.7452000142,41.718,1.0559593,29.5,31.46,30.855049504950493,35.75235294117647,30.7,-9.130472743,38.726189996,154631.1
2024-08-27 16:00:20,60180.0,1551269.0,0.0,3141.0,3327.0,100504.0,679.3232323232323,4175.821782178218,10.871287128712872,7.0,10.0,11.0,4868474.950495049,3576.77,3084.8514851485147,0.64,-0.52,0.82,29.6,-3.8,-2.8,0.0,22.13,357.42,289.73,0.08280000097439999,-0.0480000015432,0.013600000328799999,-0.030599994301999986,-0.184399986172,1.08900000912,-32.526999931999995,-22.793799789999998,-41.411200342,-0.4825999941056,9.0114000224,4.3607999854,-0.43919999898,9.2176000406,3.288999986,41.75821782178218,0.8246211,29.6,31.41,30.84851485148515,35.7677,30.9,-9.130450487,38.726189642,154689.0
